station,valid,lon,lat,elevation,tmpf,dwpf,feel,sknt
HSV,2023-07-04 04:53,-86.7861,34.6439,196.00,71.00,71.00,71.10,3.00
MDQ,2023-07-04 04:55,-86.5600,34.8600,230.00,69.40,68.00,69.40,0.00
4A6,2023-07-04 04:55,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 04:55,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 04:55,-87.8770,30.4605,27.00,77.00,73.40,77.00,0.00
DYA,2023-07-04 04:55,-87.9541,32.4638,32.25,72.50,72.00,72.50,0.00
SEM,2023-07-04 04:55,-86.9878,32.3439,44.25,77.00,77.00,77.00,3.00
EDN,2023-07-04 04:55,-85.9048,31.2982,104.85,78.30,74.70,78.30,0.00
PLR,2023-07-04 04:55,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
HDL,2023-07-04 04:55,-85.3125,31.3641,108.00,80.60,78.80,89.33,4.00
JKA,2023-07-04 04:55,-87.6718,30.2905,4.90,80.60,77.00,87.59,0.00
4A9,2023-07-04 04:55,-85.7214,34.4737,267.00,69.30,68.50,69.30,0.00
ALX,2023-07-04 04:55,-85.9613,32.9143,193.00,72.30,72.00,72.30,4.00
8A0,2023-07-04 04:55,-86.2481,34.2316,317.00,69.80,68.00,69.80,0.00
CMD,2023-07-04 04:55,-86.8580,34.2687,289.02,69.80,69.80,69.80,3.00
ASN,2023-07-04 04:55,-86.0512,33.5695,155.32,71.60,71.60,71.60,0.00
1R8,2023-07-04 04:55,-87.8193,30.8703,72.03,78.80,75.20,78.80,0.00
HEY,2023-07-04 04:55,-85.6543,31.3460,97.00,78.00,77.40,78.10,0.00
LOR,2023-07-04 04:55,-85.7511,31.3558,74.00,77.50,75.40,77.50,0.00
MXF,2023-07-04 04:55,-86.3658,32.3829,51.00,76.50,69.40,76.50,0.00
OZR,2023-07-04 04:55,-85.7134,31.2758,91.00,78.40,73.80,78.40,4.00
SXS,2023-07-04 04:55,-85.8549,31.3612,122.26,79.50,75.20,79.50,4.00
SCD,2023-07-04 04:55,-86.3055,33.1718,170.50,72.00,71.00,72.00,0.00
1A9,2023-07-04 04:55,-86.5127,32.4387,63.56,76.00,70.70,76.10,0.00
1M4,2023-07-04 04:56,-87.6004,34.2803,284.00,70.00,70.00,70.00,0.00
EKY,2023-07-04 04:56,-86.9263,33.3126,213.73,71.00,,,4.00
MOB,2023-07-04 04:56,-88.2456,30.6883,67.00,82.00,74.00,87.93,3.00
79J,2023-07-04 04:56,-86.3902,31.3061,98.00,79.00,74.00,79.00,0.00
GAD,2023-07-04 04:56,-86.0891,33.9727,173.00,71.00,71.00,71.10,3.00
0J4,2023-07-04 04:58,-86.3119,31.0447,91.00,79.00,73.00,79.00,0.00
EUF,2023-07-04 04:58,-85.1289,31.9513,87.00,77.00,76.00,77.00,0.00
PRN,2023-07-04 04:58,-86.6107,31.8457,137.50,76.00,74.00,75.90,4.00
MDQ,2023-07-04 05:15,-86.5600,34.8600,230.00,69.30,68.20,69.30,3.00
JKA,2023-07-04 05:15,-87.6718,30.2905,4.90,82.40,77.00,90.85,5.00
ALX,2023-07-04 05:15,-85.9613,32.9143,193.00,72.50,72.50,72.50,4.00
8A0,2023-07-04 05:15,-86.2481,34.2316,317.00,69.80,68.00,69.80,0.00
4A6,2023-07-04 05:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 05:15,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 05:15,-87.8770,30.4605,27.00,77.00,73.40,77.00,0.00
CMD,2023-07-04 05:15,-86.8580,34.2687,289.02,69.80,69.80,69.80,3.00
SEM,2023-07-04 05:15,-86.9878,32.3439,44.25,77.00,77.00,77.00,5.00
EDN,2023-07-04 05:15,-85.9048,31.2982,104.85,77.50,75.20,77.50,0.00
ASN,2023-07-04 05:15,-86.0512,33.5695,155.32,71.80,71.60,71.80,0.00
PLR,2023-07-04 05:15,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
1R8,2023-07-04 05:15,-87.8193,30.8703,72.03,78.80,75.20,78.80,3.00
HDL,2023-07-04 05:15,-85.3125,31.3641,108.00,80.60,80.60,91.23,5.00
SCD,2023-07-04 05:15,-86.3055,33.1718,170.50,72.00,71.00,72.00,0.00
1A9,2023-07-04 05:15,-86.5127,32.4387,63.56,75.20,71.00,75.20,0.00
4A9,2023-07-04 05:15,-85.7214,34.4737,267.00,69.00,68.40,68.90,3.00
DYA,2023-07-04 05:15,-87.9541,32.4638,32.25,72.00,72.00,72.10,0.00
EKY,2023-07-04 05:27,-86.9263,33.3126,213.73,71.60,,,5.00
MDQ,2023-07-04 05:35,-86.5600,34.8600,230.00,69.30,68.20,69.30,0.00
4A9,2023-07-04 05:35,-85.7214,34.4737,267.00,69.00,68.40,68.90,0.00
ALX,2023-07-04 05:35,-85.9613,32.9143,193.00,72.50,72.30,72.50,4.00
4A6,2023-07-04 05:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 05:35,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 05:35,-87.8770,30.4605,27.00,77.00,75.20,77.00,0.00
CMD,2023-07-04 05:35,-86.8580,34.2687,289.02,71.60,71.60,71.60,0.00
DYA,2023-07-04 05:35,-87.9541,32.4638,32.25,72.00,72.00,72.00,0.00
SEM,2023-07-04 05:35,-86.9878,32.3439,44.25,75.20,75.20,75.20,3.00
EDN,2023-07-04 05:35,-85.9048,31.2982,104.85,77.20,75.60,77.20,0.00
ASN,2023-07-04 05:35,-86.0512,33.5695,155.32,71.60,71.60,71.60,0.00
PLR,2023-07-04 05:35,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
JKA,2023-07-04 05:35,-87.6718,30.2905,4.90,82.40,77.00,90.85,0.00
8A0,2023-07-04 05:35,-86.2481,34.2316,317.00,69.80,68.00,69.80,0.00
1R8,2023-07-04 05:35,-87.8193,30.8703,72.03,77.00,75.20,77.00,4.00
HDL,2023-07-04 05:35,-85.3125,31.3641,108.00,80.60,80.60,91.23,7.00
SCD,2023-07-04 05:35,-86.3055,33.1718,170.50,72.00,71.00,72.00,0.00
1A9,2023-07-04 05:35,-86.5127,32.4387,63.56,74.50,71.00,74.50,3.00
DHN,2023-07-04 05:53,-85.4500,31.3200,122.00,80.00,75.00,85.09,5.00
MGM,2023-07-04 05:53,-86.3940,32.3006,62.00,77.00,73.00,77.00,3.00
MSL,2023-07-04 05:53,-87.5996,34.7439,168.00,72.00,70.00,72.00,0.00
EET,2023-07-04 05:53,-86.7818,33.1784,172.00,73.00,71.00,73.00,0.00
TOI,2023-07-04 05:53,-86.0121,31.8604,121.00,79.00,74.00,79.00,0.00
GZH,2023-07-04 05:53,-87.0441,31.4158,79.00,77.00,74.00,77.00,0.00
BHM,2023-07-04 05:53,-86.7449,33.5655,192.00,73.00,69.00,73.00,3.00
BFM,2023-07-04 05:53,-88.0681,30.6268,8.00,81.00,71.00,84.95,4.00
ANB,2023-07-04 05:53,-85.8479,33.5904,182.00,72.00,71.00,72.00,0.00
TCL,2023-07-04 05:53,-87.6161,33.2119,52.00,72.00,71.00,72.00,0.00
HSV,2023-07-04 05:53,-86.7861,34.6439,196.00,71.00,71.00,71.10,3.00
DCU,2023-07-04 05:53,-86.9453,34.6525,177.00,71.00,69.00,71.10,0.00
MDQ,2023-07-04 05:55,-86.5600,34.8600,230.00,68.70,67.80,68.70,0.00
4A9,2023-07-04 05:55,-85.7214,34.4737,267.00,68.70,68.40,68.70,0.00
ALX,2023-07-04 05:55,-85.9613,32.9143,193.00,72.50,72.00,72.50,0.00
4A6,2023-07-04 05:55,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 05:55,-87.3142,33.9020,147.00,71.60,71.60,71.60,3.00
CQF,2023-07-04 05:55,-87.8770,30.4605,27.00,77.00,75.20,77.00,0.00
CMD,2023-07-04 05:55,-86.8580,34.2687,289.02,71.60,71.60,71.60,3.00
SEM,2023-07-04 05:55,-86.9878,32.3439,44.25,75.20,75.20,75.20,3.00
EDN,2023-07-04 05:55,-85.9048,31.2982,104.85,77.20,75.60,77.20,0.00
ASN,2023-07-04 05:55,-86.0512,33.5695,155.32,71.60,71.60,71.60,0.00
PLR,2023-07-04 05:55,-86.2491,33.5588,144.69,71.60,71.60,71.60,
JKA,2023-07-04 05:55,-87.6718,30.2905,4.90,82.40,75.20,89.48,3.00
8A0,2023-07-04 05:55,-86.2481,34.2316,317.00,69.80,68.00,69.80,0.00
1R8,2023-07-04 05:55,-87.8193,30.8703,72.03,78.80,75.20,78.80,0.00
HDL,2023-07-04 05:55,-85.3125,31.3641,108.00,80.60,80.60,91.23,6.00
LOR,2023-07-04 05:55,-85.7511,31.3558,74.00,75.60,74.70,75.60,0.00
MXF,2023-07-04 05:55,-86.3658,32.3829,51.00,75.60,69.60,75.60,0.00
OZR,2023-07-04 05:55,-85.7134,31.2758,91.00,77.70,74.50,77.70,3.00
SXS,2023-07-04 05:55,-85.8549,31.3612,122.26,78.80,75.20,78.80,4.00
DYA,2023-07-04 05:55,-87.9541,32.4638,32.25,72.50,72.00,72.50,4.00
SCD,2023-07-04 05:55,-86.3055,33.1718,170.50,72.00,71.00,72.00,0.00
1A9,2023-07-04 05:55,-86.5127,32.4387,63.56,73.80,71.00,73.80,0.00
HEY,2023-07-04 05:55,-85.6543,31.3460,97.00,78.00,77.70,78.10,0.00
1M4,2023-07-04 05:56,-87.6004,34.2803,284.00,70.00,70.00,70.00,0.00
GAD,2023-07-04 05:56,-86.0891,33.9727,173.00,70.00,70.00,70.00,0.00
EKY,2023-07-04 05:56,-86.9263,33.3126,213.73,71.00,,,6.00
MOB,2023-07-04 05:56,-88.2456,30.6883,67.00,82.00,74.00,87.93,5.00
79J,2023-07-04 05:56,-86.3902,31.3061,98.00,78.00,74.00,78.10,0.00
0J4,2023-07-04 05:58,-86.3119,31.0447,91.00,79.00,73.00,79.00,0.00
PRN,2023-07-04 05:58,-86.6107,31.8457,137.50,75.00,74.00,75.00,0.00
ANB,2023-07-04 06:10,-85.8479,33.5904,182.00,72.00,71.00,72.00,3.00
MDQ,2023-07-04 06:15,-86.5600,34.8600,230.00,69.00,68.20,68.90,0.00
JKA,2023-07-04 06:15,-87.6718,30.2905,4.90,80.60,75.20,86.17,5.00
4A9,2023-07-04 06:15,-85.7214,34.4737,267.00,69.30,68.70,69.30,0.00
ALX,2023-07-04 06:15,-85.9613,32.9143,193.00,72.30,72.00,72.30,4.00
8A0,2023-07-04 06:15,-86.2481,34.2316,317.00,69.80,68.00,69.80,0.00
4A6,2023-07-04 06:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 06:15,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 06:15,-87.8770,30.4605,27.00,77.00,75.20,77.00,0.00
CMD,2023-07-04 06:15,-86.8580,34.2687,289.02,69.80,69.80,69.80,0.00
DYA,2023-07-04 06:15,-87.9541,32.4638,32.25,73.40,72.00,73.40,4.00
SEM,2023-07-04 06:15,-86.9878,32.3439,44.25,75.20,75.20,75.20,4.00
1A9,2023-07-04 06:15,-86.5127,32.4387,63.56,73.60,71.20,73.60,0.00
EDN,2023-07-04 06:15,-85.9048,31.2982,104.85,77.00,75.60,77.00,0.00
ASN,2023-07-04 06:15,-86.0512,33.5695,155.32,71.60,71.40,71.60,0.00
PLR,2023-07-04 06:15,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
1R8,2023-07-04 06:15,-87.8193,30.8703,72.03,77.00,75.20,77.00,0.00
HDL,2023-07-04 06:15,-85.3125,31.3641,108.00,80.60,80.60,91.23,5.00
SCD,2023-07-04 06:15,-86.3055,33.1718,170.50,71.60,71.00,71.60,0.00
MDQ,2023-07-04 06:35,-86.5600,34.8600,230.00,69.00,68.20,69.10,0.00
JKA,2023-07-04 06:35,-87.6718,30.2905,4.90,82.40,75.20,89.48,9.00
ALX,2023-07-04 06:35,-85.9613,32.9143,193.00,71.60,71.20,71.60,0.00
8A0,2023-07-04 06:35,-86.2481,34.2316,317.00,69.80,68.00,69.80,0.00
OZR,2023-07-04 06:35,-85.7134,31.2758,91.00,77.00,75.20,77.00,3.00
4A6,2023-07-04 06:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 06:35,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 06:35,-87.8770,30.4605,27.00,77.00,75.20,77.00,0.00
HEY,2023-07-04 06:35,-85.6543,31.3460,97.00,77.00,77.00,77.00,0.00
CMD,2023-07-04 06:35,-86.8580,34.2687,289.02,69.80,69.80,69.80,0.00
DYA,2023-07-04 06:35,-87.9541,32.4638,32.25,73.40,71.80,73.40,5.00
SEM,2023-07-04 06:35,-86.9878,32.3439,44.25,75.20,75.20,75.20,4.00
1A9,2023-07-04 06:35,-86.5127,32.4387,63.56,73.40,71.20,73.40,0.00
EDN,2023-07-04 06:35,-85.9048,31.2982,104.85,77.00,75.70,77.00,0.00
ASN,2023-07-04 06:35,-86.0512,33.5695,155.32,71.60,71.20,71.60,0.00
PLR,2023-07-04 06:35,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
1R8,2023-07-04 06:35,-87.8193,30.8703,72.03,77.00,75.20,77.00,0.00
HDL,2023-07-04 06:35,-85.3125,31.3641,108.00,80.60,78.80,89.33,3.00
4A9,2023-07-04 06:35,-85.7214,34.4737,267.00,69.30,69.00,69.30,0.00
SCD,2023-07-04 06:35,-86.3055,33.1718,170.50,71.60,71.00,71.60,0.00
HSV,2023-07-04 06:53,-86.7861,34.6439,196.00,71.00,70.00,71.10,4.00
DHN,2023-07-04 06:53,-85.4500,31.3200,122.00,79.00,75.00,79.00,5.00
GZH,2023-07-04 06:53,-87.0441,31.4158,79.00,76.00,73.00,75.90,0.00
BFM,2023-07-04 06:53,-88.0681,30.6268,8.00,80.00,73.00,84.30,4.00
MGM,2023-07-04 06:53,-86.3940,32.3006,62.00,75.00,73.00,75.00,3.00
MSL,2023-07-04 06:53,-87.5996,34.7439,168.00,72.00,70.00,72.00,0.00
EET,2023-07-04 06:53,-86.7818,33.1784,172.00,73.00,71.00,73.00,0.00
BHM,2023-07-04 06:53,-86.7449,33.5655,192.00,73.00,69.00,73.00,0.00
ANB,2023-07-04 06:53,-85.8479,33.5904,182.00,72.00,71.00,72.00,3.00
TCL,2023-07-04 06:53,-87.6161,33.2119,52.00,72.00,71.00,72.00,0.00
TOI,2023-07-04 06:53,-86.0121,31.8604,121.00,80.00,74.00,84.64,0.00
DCU,2023-07-04 06:53,-86.9453,34.6525,177.00,71.00,69.00,71.10,3.00
MDQ,2023-07-04 06:55,-86.5600,34.8600,230.00,69.00,68.00,68.90,0.00
JKA,2023-07-04 06:55,-87.6718,30.2905,4.90,78.80,75.20,78.80,5.00
4A9,2023-07-04 06:55,-85.7214,34.4737,267.00,69.00,68.70,69.10,0.00
ALX,2023-07-04 06:55,-85.9613,32.9143,193.00,71.80,71.60,71.80,0.00
8A0,2023-07-04 06:55,-86.2481,34.2316,317.00,69.80,68.00,69.80,3.00
4A6,2023-07-04 06:55,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 06:55,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 06:55,-87.8770,30.4605,27.00,78.80,75.20,78.80,0.00
CMD,2023-07-04 06:55,-86.8580,34.2687,289.02,69.80,69.80,69.80,0.00
DYA,2023-07-04 06:55,-87.9541,32.4638,32.25,73.60,71.60,73.60,0.00
SEM,2023-07-04 06:55,-86.9878,32.3439,44.25,75.20,75.20,75.20,5.00
1A9,2023-07-04 06:55,-86.5127,32.4387,63.56,73.00,71.20,72.90,0.00
EDN,2023-07-04 06:55,-85.9048,31.2982,104.85,77.00,75.70,77.00,0.00
PLR,2023-07-04 06:55,-86.2491,33.5588,144.69,,,,
1R8,2023-07-04 06:55,-87.8193,30.8703,72.03,77.00,75.20,77.00,0.00
HDL,2023-07-04 06:55,-85.3125,31.3641,108.00,78.80,78.80,78.80,3.00
HEY,2023-07-04 06:55,-85.6543,31.3460,97.00,77.00,76.60,77.00,0.00
LOR,2023-07-04 06:55,-85.7511,31.3558,74.00,75.60,74.80,75.60,0.00
MXF,2023-07-04 06:55,-86.3658,32.3829,51.00,73.60,69.40,73.60,0.00
OZR,2023-07-04 06:55,-85.7134,31.2758,91.00,77.20,74.70,77.20,4.00
SXS,2023-07-04 06:55,-85.8549,31.3612,122.26,78.00,75.60,77.90,3.00
SCD,2023-07-04 06:55,-86.3055,33.1718,170.50,71.60,71.00,71.60,0.00
ASN,2023-07-04 06:55,-86.0512,33.5695,155.32,71.60,71.00,71.60,0.00
MOB,2023-07-04 06:56,-88.2456,30.6883,67.00,81.00,71.00,84.95,0.00
1M4,2023-07-04 06:56,-87.6004,34.2803,284.00,69.00,69.00,69.10,0.00
GAD,2023-07-04 06:56,-86.0891,33.9727,173.00,71.00,71.00,71.10,0.00
EKY,2023-07-04 06:56,-86.9263,33.3126,213.73,71.00,71.00,71.10,5.00
79J,2023-07-04 06:56,-86.3902,31.3061,98.00,76.00,74.00,75.90,0.00
EUF,2023-07-04 06:58,-85.1289,31.9513,87.00,77.00,75.00,77.00,3.00
0J4,2023-07-04 06:58,-86.3119,31.0447,91.00,78.00,72.00,78.10,0.00
PRN,2023-07-04 06:58,-86.6107,31.8457,137.50,74.00,74.00,73.90,0.00
BFM,2023-07-04 07:04,-88.0681,30.6268,8.00,80.00,73.00,84.30,4.00
ANB,2023-07-04 07:10,-85.8479,33.5904,182.00,72.00,71.00,72.00,4.00
MDQ,2023-07-04 07:15,-86.5600,34.8600,230.00,69.00,68.00,68.90,0.00
JKA,2023-07-04 07:15,-87.6718,30.2905,4.90,78.80,75.20,78.80,4.00
ALX,2023-07-04 07:15,-85.9613,32.9143,193.00,71.60,71.20,71.60,0.00
8A0,2023-07-04 07:15,-86.2481,34.2316,317.00,69.80,68.00,69.80,0.00
4A6,2023-07-04 07:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 07:15,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 07:15,-87.8770,30.4605,27.00,78.80,73.40,78.80,0.00
CMD,2023-07-04 07:15,-86.8580,34.2687,289.02,69.80,69.80,69.80,4.00
DYA,2023-07-04 07:15,-87.9541,32.4638,32.25,73.60,71.60,73.60,0.00
SEM,2023-07-04 07:15,-86.9878,32.3439,44.25,75.20,75.20,75.20,4.00
SCD,2023-07-04 07:15,-86.3055,33.1718,170.50,71.60,70.50,71.60,0.00
EDN,2023-07-04 07:15,-85.9048,31.2982,104.85,76.50,75.70,76.50,0.00
PLR,2023-07-04 07:15,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
1R8,2023-07-04 07:15,-87.8193,30.8703,72.03,77.00,75.20,77.00,0.00
HDL,2023-07-04 07:15,-85.3125,31.3641,108.00,78.80,78.80,78.80,0.00
1A9,2023-07-04 07:15,-86.5127,32.4387,63.56,72.70,71.00,72.70,0.00
ASN,2023-07-04 07:15,-86.0512,33.5695,155.32,71.60,71.00,71.60,0.00
4A9,2023-07-04 07:15,-85.7214,34.4737,267.00,69.00,69.00,69.10,0.00
BFM,2023-07-04 07:33,-88.0681,30.6268,8.00,80.00,73.00,84.30,0.00
MDQ,2023-07-04 07:35,-86.5600,34.8600,230.00,68.50,67.80,68.50,0.00
JKA,2023-07-04 07:35,-87.6718,30.2905,4.90,78.80,75.20,78.80,0.00
8A0,2023-07-04 07:35,-86.2481,34.2316,317.00,68.00,68.00,68.00,0.00
4A6,2023-07-04 07:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 07:35,-87.3142,33.9020,147.00,69.80,69.80,69.80,0.00
CQF,2023-07-04 07:35,-87.8770,30.4605,27.00,78.80,75.20,78.80,0.00
CMD,2023-07-04 07:35,-86.8580,34.2687,289.02,69.80,69.80,69.80,4.00
DYA,2023-07-04 07:35,-87.9541,32.4638,32.25,73.80,72.00,73.80,3.00
SEM,2023-07-04 07:35,-86.9878,32.3439,44.25,75.20,75.20,75.20,0.00
SCD,2023-07-04 07:35,-86.3055,33.1718,170.50,71.60,70.50,71.60,0.00
1A9,2023-07-04 07:35,-86.5127,32.4387,63.56,72.70,71.40,72.70,0.00
EDN,2023-07-04 07:35,-85.9048,31.2982,104.85,76.00,75.60,76.10,0.00
ASN,2023-07-04 07:35,-86.0512,33.5695,155.32,72.00,71.20,72.00,0.00
PLR,2023-07-04 07:35,-86.2491,33.5588,144.69,,,,
1R8,2023-07-04 07:35,-87.8193,30.8703,72.03,77.00,75.20,77.00,0.00
HDL,2023-07-04 07:35,-85.3125,31.3641,108.00,78.80,78.80,78.80,3.00
4A9,2023-07-04 07:35,-85.7214,34.4737,267.00,69.00,68.70,68.90,0.00
ALX,2023-07-04 07:35,-85.9613,32.9143,193.00,71.00,71.00,71.10,0.00
HSV,2023-07-04 07:53,-86.7861,34.6439,196.00,71.00,70.00,71.10,4.00
DHN,2023-07-04 07:53,-85.4500,31.3200,122.00,78.00,75.00,78.10,4.00
GZH,2023-07-04 07:53,-87.0441,31.4158,79.00,76.00,73.00,75.90,0.00
MGM,2023-07-04 07:53,-86.3940,32.3006,62.00,76.00,73.00,75.90,0.00
MSL,2023-07-04 07:53,-87.5996,34.7439,168.00,72.00,70.00,72.00,4.00
EET,2023-07-04 07:53,-86.7818,33.1784,172.00,72.00,71.00,72.00,0.00
TOI,2023-07-04 07:53,-86.0121,31.8604,121.00,79.00,74.00,79.00,0.00
BHM,2023-07-04 07:53,-86.7449,33.5655,192.00,73.00,69.00,73.00,3.00
BFM,2023-07-04 07:53,-88.0681,30.6268,8.00,79.00,74.00,79.00,0.00
ANB,2023-07-04 07:53,-85.8479,33.5904,182.00,72.00,71.00,72.00,0.00
TCL,2023-07-04 07:53,-87.6161,33.2119,52.00,72.00,71.00,72.00,0.00
DCU,2023-07-04 07:53,-86.9453,34.6525,177.00,71.00,69.00,71.10,0.00
MDQ,2023-07-04 07:55,-86.5600,34.8600,230.00,68.50,67.60,68.50,0.00
4A9,2023-07-04 07:55,-85.7214,34.4737,267.00,69.00,68.70,68.90,0.00
ALX,2023-07-04 07:55,-85.9613,32.9143,193.00,71.00,70.70,70.90,0.00
4A6,2023-07-04 07:55,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 07:55,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 07:55,-87.8770,30.4605,27.00,78.80,73.40,78.80,7.00
CMD,2023-07-04 07:55,-86.8580,34.2687,289.02,69.80,69.80,69.80,0.00
DYA,2023-07-04 07:55,-87.9541,32.4638,32.25,73.40,71.80,73.40,0.00
SEM,2023-07-04 07:55,-86.9878,32.3439,44.25,75.20,75.20,75.20,0.00
SCD,2023-07-04 07:55,-86.3055,33.1718,170.50,71.80,70.30,71.80,0.00
PLR,2023-07-04 07:55,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
JKA,2023-07-04 07:55,-87.6718,30.2905,4.90,78.80,75.20,78.80,0.00
8A0,2023-07-04 07:55,-86.2481,34.2316,317.00,68.00,68.00,68.00,0.00
1R8,2023-07-04 07:55,-87.8193,30.8703,72.03,77.00,75.20,77.00,0.00
HDL,2023-07-04 07:55,-85.3125,31.3641,108.00,78.80,78.80,78.80,4.00
HEY,2023-07-04 07:55,-85.6543,31.3460,97.00,77.00,76.60,77.00,0.00
LOR,2023-07-04 07:55,-85.7511,31.3558,74.00,75.20,74.50,75.20,0.00
SXS,2023-07-04 07:55,-85.8549,31.3612,122.26,77.20,75.60,77.20,3.00
ASN,2023-07-04 07:55,-86.0512,33.5695,155.32,72.00,71.00,72.00,0.00
MXF,2023-07-04 07:55,-86.3658,32.3829,51.00,75.00,71.00,75.00,3.00
1A9,2023-07-04 07:55,-86.5127,32.4387,63.56,73.00,71.00,72.90,0.00
EDN,2023-07-04 07:55,-85.9048,31.2982,104.85,76.00,76.00,76.10,0.00
OZR,2023-07-04 07:55,-85.7134,31.2758,91.00,76.00,74.00,76.10,3.00
1M4,2023-07-04 07:56,-87.6004,34.2803,284.00,68.00,68.00,68.00,0.00
MOB,2023-07-04 07:56,-88.2456,30.6883,67.00,80.00,73.00,84.30,4.00
GAD,2023-07-04 07:56,-86.0891,33.9727,173.00,70.00,70.00,70.00,0.00
EKY,2023-07-04 07:56,-86.9263,33.3126,213.73,70.00,,,0.00
79J,2023-07-04 07:56,-86.3902,31.3061,98.00,76.00,74.00,75.90,0.00
0J4,2023-07-04 07:58,-86.3119,31.0447,91.00,77.00,72.00,77.00,0.00
PRN,2023-07-04 07:58,-86.6107,31.8457,137.50,75.00,73.00,75.00,4.00
EUF,2023-07-04 07:58,-85.1289,31.9513,87.00,76.00,74.00,75.90,0.00
MDQ,2023-07-04 08:15,-86.5600,34.8600,230.00,68.40,67.50,68.40,0.00
JKA,2023-07-04 08:15,-87.6718,30.2905,4.90,80.60,75.20,86.17,0.00
ALX,2023-07-04 08:15,-85.9613,32.9143,193.00,71.00,70.70,71.10,0.00
8A0,2023-07-04 08:15,-86.2481,34.2316,317.00,68.00,68.00,68.00,0.00
4A6,2023-07-04 08:15,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 08:15,-87.3142,33.9020,147.00,71.60,71.60,71.60,0.00
CQF,2023-07-04 08:15,-87.8770,30.4605,27.00,73.40,73.40,73.40,0.00
CMD,2023-07-04 08:15,-86.8580,34.2687,289.02,69.80,69.80,69.80,0.00
DYA,2023-07-04 08:15,-87.9541,32.4638,32.25,73.40,71.80,73.40,0.00
SEM,2023-07-04 08:15,-86.9878,32.3439,44.25,75.20,75.20,75.20,0.00
SCD,2023-07-04 08:15,-86.3055,33.1718,170.50,71.60,70.50,71.60,0.00
1A9,2023-07-04 08:15,-86.5127,32.4387,63.56,73.40,71.40,73.40,3.00
EDN,2023-07-04 08:15,-85.9048,31.2982,104.85,75.40,75.40,75.40,0.00
PLR,2023-07-04 08:15,-86.2491,33.5588,144.69,71.60,71.60,71.60,0.00
1R8,2023-07-04 08:15,-87.8193,30.8703,72.03,77.00,77.00,77.00,4.00
HDL,2023-07-04 08:15,-85.3125,31.3641,108.00,78.80,78.80,78.80,4.00
ASN,2023-07-04 08:15,-86.0512,33.5695,155.32,71.60,71.00,71.60,0.00
4A9,2023-07-04 08:15,-85.7214,34.4737,267.00,69.00,69.00,69.10,3.00
BFM,2023-07-04 08:19,-88.0681,30.6268,8.00,78.00,73.00,78.10,0.00
BFM,2023-07-04 08:21,-88.0681,30.6268,8.00,78.00,73.00,78.10,0.00
ANB,2023-07-04 08:28,-85.8479,33.5904,182.00,72.00,71.00,72.00,0.00
MDQ,2023-07-04 08:35,-86.5600,34.8600,230.00,68.50,67.60,68.50,0.00
JKA,2023-07-04 08:35,-87.6718,30.2905,4.90,78.80,77.00,78.80,0.00
4A9,2023-07-04 08:35,-85.7214,34.4737,267.00,69.00,68.70,68.90,0.00
8A0,2023-07-04 08:35,-86.2481,34.2316,317.00,68.00,68.00,68.00,0.00
4A6,2023-07-04 08:35,-86.0059,34.6887,198.00,,,,
JFX,2023-07-04 08:35,-87.3142,33.9020,147.00,69.80,69.80,69.80,0.00
CQF,2023-07-04 08:35,-87.8770,30.4605,27.00,77.00,73.40,77.00,0.00
CMD,2023-07-04 08:35,-86.8580,34.2687,289.02,69.80,69.80,69.80,0.00
DYA,2023-07-04 08:35,-87.9541,32.4638,32.25,73.20,72.00,73.20,3.00
SEM,2023-07-04 08:35,-86.9878,32.3439,44.25,75.20,75.20,75.20,0.00
SCD,2023-07-04 08:35,-86.3055,33.1718,170.50,71.60,70.70,71.60,0.00
